A,B,C,D
10616,d,45,C
10617,e,147,C
10618,b,54,C
10619,d,199,A
10620,b,102,A
10621,d,66,A
10622,c,83,A
10623,b,122,B
10624,b,86,C
10625,b,62,A
10626,a,137,C
10627,c,157,A
10628,c,164,A
10629,e,194,B
10630,b,91,A
10631,a,87,B
10632,c,109,B
10633,b,95,B
10634,b,122,C
10635,d,158,A
10636,c,88,B
10637,b,94,B
10638,d,188,A
10639,e,174,C
10640,c,85,C
10641,c,55,B
10642,a,71,A
10643,d,34,C
10644,d,138,C
10645,c,142,C
10646,c,123,B
10647,a,120,A
10648,e,121,B
10649,a,94,B
10650,d,77,C
10651,c,168,A
10652,d,179,C
10653,a,168,B
10654,a,173,C
10655,d,116,C
10656,a,187,A
10657,a,97,A
10658,e,198,C
10659,a,161,B
10660,b,9,A
10661,b,188,C
10662,c,171,A
10663,e,25,B
10664,a,193,A
10665,c,66,A
10666,c,10,C
10667,d,6,A
10668,a,22,A
10669,d,135,A
10670,b,149,C
10671,d,191,A
10672,c,55,B
10673,e,2,A
10674,a,119,A
10675,a,95,A
10676,d,117,A
10677,c,153,A
10678,c,37,B
10679,a,63,B
10680,c,54,A
10681,e,11,B
10682,a,187,B
10683,e,54,C
10684,d,34,B
10685,c,184,A
10686,e,95,C
10687,d,121,C
10688,b,33,B
10689,d,192,B
10690,c,161,A
10691,b,67,C
10692,a,191,A
10693,b,115,C
10694,a,175,B
10695,d,33,C
10696,c,121,B
10697,c,182,C
10698,b,171,C
10699,e,134,A
10700,d,15,B
10701,a,147,B
10702,c,197,B
10703,d,177,B
10704,a,108,A
10705,e,109,C
10706,c,85,A
10707,b,123,A
10708,d,28,B
10709,b,155,C
10710,d,150,B
10711,e,35,B
10712,b,93,B
10713,b,128,C
10714,d,141,C
10715,b,40,C
10716,c,39,C
10717,d,200,A
10718,b,60,A
10719,b,180,A
10720,a,62,B
10721,a,129,C
10722,c,2,B
10723,b,37,C
10724,d,179,A
10725,d,23,B
10726,c,1,A
10727,b,89,B
10728,e,111,A
10729,d,40,B
10730,d,186,B
10731,c,10,C
10732,c,129,A
10733,c,97,C
10734,d,110,B
10735,d,73,C
10736,a,119,A
10737,d,74,C
10738,e,45,A
10739,c,86,C
10740,e,5,B
10741,a,23,A
10742,d,145,A
10743,e,32,C
10744,d,12,C
10745,b,110,A
10746,a,110,A
10747,e,175,B
10748,d,189,C
10749,e,124,C
10750,e,79,C
10751,c,77,A
10752,e,172,C
10753,b,86,B
10754,c,111,C
10755,a,194,B
10756,e,133,C
10757,d,119,B
10758,a,136,A
10759,b,67,B
10760,e,47,A
10761,e,193,C
10762,a,141,B
10763,e,118,C
10764,a,128,A
10765,b,106,B
10766,b,15,A
10767,d,52,B
10768,a,18,A
10769,e,17,A
10770,c,127,A
10771,c,141,C
10772,b,42,C
10773,a,117,A
10774,c,23,C
10775,e,144,B
10776,c,71,C
10777,a,185,C
10778,e,138,A
10779,a,141,C
10780,d,82,C
10781,d,151,B
10782,e,24,B
10783,d,86,B
10784,c,137,A
10785,b,122,C
10786,c,49,C
10787,e,164,B
10788,e,176,B
10789,a,134,C
10790,c,3,A
10791,c,35,C
10792,b,99,B
10793,e,80,A
10794,a,127,A
10795,a,96,B
10796,b,184,C
10797,d,16,A
10798,b,39,C
10799,e,14,B
10800,c,22,B
10801,a,107,A
10802,c,122,B
10803,e,61,A
10804,d,167,B
10805,a,164,C
10806,b,93,C
10807,b,48,A
10808,b,148,B
10809,b,100,C
10810,b,17,A
10811,a,48,B
10812,c,119,B
10813,a,196,C
10814,b,147,C
10815,b,71,B
10816,c,182,B
10817,e,4,B
10818,a,118,B
10819,c,129,B
10820,c,130,A
10821,c,104,B
10822,a,147,A
10823,c,188,C
10824,e,182,A
10825,d,146,B
10826,a,139,C
10827,e,152,C
10828,c,161,C
10829,a,129,B
10830,e,101,B
10831,d,85,B
10832,c,190,A
10833,c,32,A
10834,d,185,C
10835,a,112,A
10836,c,12,A
10837,d,65,A
10838,e,143,A
10839,b,172,B
10840,b,81,B
10841,c,130,B
10842,a,74,A
10843,c,27,A
10844,d,26,B
10845,e,187,B
10846,b,192,C
10847,a,109,C
10848,d,146,A
10849,c,184,B
10850,c,183,C
10851,e,198,B
10852,b,194,C
10853,d,67,C
10854,b,56,B
10855,b,111,B
10856,e,153,B
10857,a,149,B
10858,e,61,A
10859,a,12,C
10860,e,169,A
10861,b,63,B
10862,e,195,B
10863,b,31,C
10864,d,81,A
10865,c,182,C
10866,a,9,B
10867,a,11,C
10868,b,49,C
10869,e,171,C
10870,c,135,C
10871,c,110,B
10872,a,34,C
10873,d,156,B
10874,e,162,C
10875,c,35,A
10876,c,21,B
10877,a,25,C
10878,e,82,C
10879,e,114,C
10880,d,127,A
10881,d,6,A
10882,b,21,B
10883,c,122,B
10884,b,173,C
10885,e,24,A
10886,c,40,C
10887,e,106,C
10888,d,180,A
10889,d,88,C
10890,e,139,B
10891,b,59,A
10892,a,181,B
10893,a,67,B
10894,d,9,C
10895,a,197,B
10896,e,7,C
10897,d,53,C
10898,b,175,C
10899,a,62,B
10900,e,88,A
10901,e,63,C
10902,c,178,C
10903,b,183,A
10904,a,58,A
10905,d,100,A
10906,b,20,C
10907,d,118,B
10908,d,63,A
10909,a,25,C
10910,d,1,C
10911,a,176,B
10912,b,48,B
10913,c,39,B
10914,b,133,A
10915,a,10,A
10916,c,24,A
10917,a,61,B
10918,a,143,C
10919,e,155,B
10920,b,118,A
10921,b,177,A
10922,e,146,A
10923,a,24,A
10924,c,171,B
10925,b,66,A
10926,a,126,A
10927,b,27,A
10928,d,86,B
10929,e,147,A
10930,b,113,A
10931,e,130,B
10932,b,91,C
10933,c,20,C
10934,d,179,B
10935,b,35,C
10936,a,35,A
10937,c,9,C
10938,a,100,A
10939,c,32,B
10940,c,133,A
10941,b,146,B
10942,c,196,B
10943,b,174,A
10944,d,67,A
10945,b,147,C
10946,e,186,B
10947,c,110,A
10948,b,182,A
10949,b,147,C
10950,e,158,C
10951,c,74,C
10952,b,106,B
10953,a,191,B
10954,a,185,A
10955,e,127,B
10956,d,112,A
10957,b,165,B
10958,b,125,C
10959,c,66,B
10960,b,196,A
10961,a,116,A
10962,e,96,B
10963,e,76,C
10964,a,63,B
10965,a,119,B
10966,a,115,C
10967,e,97,A
10968,a,96,A
10969,c,82,B
10970,d,189,C
10971,b,148,C
10972,e,126,A
10973,c,155,C
10974,e,123,B
10975,e,18,A
10976,d,108,B
10977,a,49,A
10978,c,111,C
10979,a,4,B
10980,e,138,C
10981,a,200,C
10982,b,63,A
10983,e,179,C
10984,d,40,B
10985,b,181,A
10986,a,138,C
10987,b,56,C
10988,b,49,B
10989,d,78,C
10990,e,78,B
10991,c,80,A
10992,b,135,A
10993,d,104,C
10994,b,85,C
10995,a,134,A
10996,b,191,B
10997,c,67,A
10998,d,39,B
10999,b,47,B
11000,e,64,C
11001,b,159,B
11002,a,13,A
11003,c,77,A
11004,d,1,C
11005,c,2,C
11006,b,26,A
11007,b,120,B
11008,c,136,A
11009,b,40,B
11010,e,127,A
11011,c,190,B
11012,c,111,A
11013,d,183,A
11014,c,29,B
11015,d,154,A
11016,d,163,A
11017,b,76,B
11018,b,17,C
11019,a,42,B
11020,c,40,B
11021,c,34,B
11022,d,32,B
11023,a,113,C
11024,a,66,B
11025,c,20,C
11026,e,173,B
11027,c,36,C
11028,a,51,B
11029,c,138,C
11030,d,138,C
11031,d,139,A
11032,d,126,C
11033,c,40,A
11034,c,19,A
11035,e,54,B
11036,a,133,C
11037,e,166,A
11038,b,63,A
11039,e,177,C
11040,c,191,B
11041,e,132,C
11042,a,192,A
11043,e,162,C
11044,a,173,C
11045,b,65,C
11046,e,26,C
11047,c,191,C
11048,e,132,A
11049,c,194,B
11050,e,159,B
11051,a,185,B
11052,e,169,A
11053,c,97,B
11054,a,30,A
11055,e,82,A
11056,b,14,B
11057,c,59,C
11058,b,188,C
11059,c,93,C
11060,b,7,C
11061,d,155,A
11062,e,118,A
11063,a,71,A
11064,a,120,A
11065,e,74,C
11066,d,24,C
11067,d,60,A
11068,b,164,C
11069,b,54,C
11070,b,28,B
11071,e,185,B
11072,b,39,A
11073,e,190,A
11074,d,173,A
11075,a,143,A
11076,c,110,A
11077,e,27,A
11078,c,1,A
11079,c,142,A
11080,c,135,C
11081,a,31,A
11082,b,102,C
11083,a,178,C
11084,e,124,A
11085,a,103,A
11086,d,38,B
11087,d,118,C
11088,b,159,A
11089,d,174,B
11090,b,45,A
11091,b,190,A
11092,c,18,A
11093,c,56,C
11094,e,115,A
11095,c,26,C
11096,b,95,C
11097,d,36,C
11098,a,180,A
11099,b,188,A
11100,d,36,C
11101,c,199,C
11102,d,20,B
11103,c,53,C
11104,a,103,A
11105,a,195,A
11106,b,146,C
11107,e,31,B
11108,a,12,A
11109,c,128,A
11110,b,162,C
11111,d,193,A
11112,d,84,B
11113,d,154,A
11114,b,16,A
11115,c,166,C
11116,d,156,A
11117,e,13,A
11118,e,67,C
11119,e,31,C
11120,e,20,B
11121,e,47,A
11122,c,144,A
11123,e,23,A
11124,e,1,A
11125,b,72,C
11126,a,103,C
11127,e,42,B
11128,c,38,C
11129,c,110,A
11130,b,167,A
11131,b,98,C
11132,b,184,A
11133,d,168,A
11134,a,103,B
11135,d,102,C
11136,b,14,C
11137,e,14,C
11138,d,133,C
11139,c,74,A
11140,b,87,C
11141,c,171,A
11142,e,142,C
11143,a,194,C
11144,c,51,A
11145,b,132,B
11146,b,44,A
11147,a,118,A
11148,c,39,B
11149,b,159,C
11150,d,149,A
11151,d,29,B
11152,b,23,A
11153,a,52,C
11154,c,143,C
11155,e,55,A
11156,b,77,C
11157,d,18,C
11158,b,154,A
11159,e,5,B
11160,e,183,A
11161,d,19,A
11162,a,10,C
11163,d,42,B
11164,d,28,B
11165,a,189,C
11166,b,51,B
11167,a,124,C
11168,c,196,B
11169,a,115,C
11170,a,38,A
11171,d,200,A
11172,a,165,B
11173,b,66,C
11174,b,164,A
11175,a,104,A
11176,c,14,A
11177,b,34,C
11178,a,100,C
11179,a,185,C
11180,e,105,C
11181,e,137,B
11182,b,143,A
11183,b,188,C
11184,a,39,B
11185,c,46,B
11186,d,7,C
11187,c,180,A
11188,a,102,B
11189,c,67,B
11190,a,7,A
11191,e,190,B
11192,d,67,B
11193,c,112,A
11194,d,142,C
11195,e,47,A
11196,a,157,A
11197,c,127,B
11198,b,98,A
11199,d,118,C
11200,e,77,B
11201,e,30,A
11202,d,115,C
11203,d,127,C
11204,e,46,A
11205,d,116,C
11206,d,134,C
11207,a,166,C
11208,b,152,A
11209,b,183,A
11210,e,24,B
11211,b,100,B
11212,e,75,B
11213,d,74,B
11214,a,72,B
11215,d,89,A
11216,a,157,B
11217,e,1,B
11218,a,3,A
11219,e,123,B
11220,d,176,B
11221,e,164,C
11222,a,128,B
11223,c,32,B
11224,a,4,B
11225,e,147,C
11226,b,114,B
11227,a,124,B
11228,e,61,B
11229,c,132,B
11230,c,194,A
11231,d,152,B
11232,a,89,B
11233,d,145,C
11234,d,20,C
11235,e,79,C
11236,a,46,A
11237,e,188,C
11238,b,101,B
11239,a,16,A
11240,d,83,A
11241,d,151,C
11242,d,9,B
11243,c,199,A
11244,b,79,A
11245,d,111,A
11246,c,40,C
11247,e,62,A
11248,c,178,C
11249,e,14,A
11250,e,165,B
11251,a,80,A
11252,b,152,B
11253,d,185,B
11254,e,112,B
11255,b,7,B
11256,b,21,C
11257,e,100,A
11258,c,9,C
11259,d,136,A
11260,d,127,C
11261,d,53,C
11262,b,61,B
11263,c,139,C
11264,e,198,A
11265,c,26,B
11266,b,93,A
11267,c,100,A
11268,b,160,C
11269,d,26,A
11270,d,21,C
11271,e,160,C
11272,a,125,C
11273,c,131,C
11274,d,99,C
11275,d,74,C
11276,a,147,C
11277,d,18,C
11278,c,59,C
11279,e,60,C
11280,d,76,A
11281,c,132,B
11282,b,94,A
11283,d,144,B
11284,b,11,A
11285,a,174,A
11286,a,95,A
11287,c,152,B
11288,e,10,B
11289,e,27,C
11290,e,197,B
11291,c,141,A
11292,a,56,C
11293,e,137,B
11294,e,116,C
11295,c,195,A
11296,a,167,C
11297,a,90,C
11298,e,47,C
11299,d,60,A
11300,c,39,A
11301,c,2,C
11302,e,91,C
11303,c,122,A
11304,e,40,B
11305,d,108,A
11306,b,124,B
11307,b,61,C
11308,e,128,C
11309,d,128,C
11310,e,187,B
11311,a,152,A
11312,c,31,A
11313,d,7,A
11314,d,154,B
11315,e,154,A
11316,c,33,C
11317,a,17,A
11318,b,66,B
11319,a,149,B
11320,b,4,A
11321,b,174,B
11322,e,67,C
11323,d,24,B
11324,c,3,C
11325,b,125,C
11326,b,166,B
11327,a,100,A
11328,d,14,A
11329,e,179,B
11330,d,69,A
11331,a,6,A
11332,d,188,B
11333,a,6,C
11334,b,166,C
11335,a,58,B
11336,e,7,B
11337,a,109,C
11338,c,111,C
11339,b,156,C
11340,e,17,A
11341,a,90,B
11342,c,51,C
11343,e,183,C
11344,e,27,C
11345,a,35,C
11346,e,107,B
11347,d,105,A
11348,d,19,C
11349,b,167,C
11350,e,157,C
11351,b,179,C
11352,d,65,B
11353,a,22,A
11354,d,90,B
11355,b,156,A
11356,a,103,A
11357,a,52,C
11358,e,15,B
11359,d,82,A
11360,a,93,C
11361,c,24,C
11362,a,66,C
11363,e,16,B
11364,a,14,B
11365,e,113,C
11366,e,157,A
11367,c,41,B
11368,e,179,C
11369,b,20,B
11370,b,118,C
11371,d,28,A
11372,d,71,B
11373,a,4,C
11374,a,102,C
11375,d,105,A
11376,b,160,B
11377,a,199,B
11378,c,54,A
11379,e,55,C
11380,c,122,C
11381,c,174,C
11382,c,113,A
11383,b,72,B
11384,c,74,C
11385,c,112,A
11386,b,4,B
11387,c,18,A
11388,e,90,A
11389,a,142,C
11390,e,90,A
11391,d,117,A
11392,a,22,C
11393,c,104,A
11394,e,103,C
11395,a,13,B
11396,e,182,A
11397,c,155,B
11398,e,113,A
11399,e,101,A
11400,a,106,B
11401,d,22,C
11402,a,63,A
11403,c,101,B
11404,a,114,C
11405,e,85,C
11406,d,121,A
11407,b,135,A
11408,d,153,A
11409,b,200,C
11410,a,27,B
11411,e,135,A
11412,d,74,B
11413,d,78,B
11414,a,43,B
11415,d,13,A
11416,c,54,C
11417,e,116,A
11418,c,81,C
11419,a,157,B
11420,c,68,B
11421,c,114,C
11422,b,112,B
11423,b,187,B
11424,d,80,A
11425,e,151,B
11426,e,111,C
11427,a,56,B
11428,c,165,B
11429,d,161,A
11430,b,176,C
11431,e,19,C
11432,c,177,C
11433,a,117,A
11434,e,95,A
11435,e,37,C
11436,b,159,B
11437,d,39,A
11438,c,41,A
11439,d,137,A
11440,b,66,B
11441,b,30,A
11442,a,198,C
11443,d,188,B
11444,c,123,C
11445,d,5,C
11446,b,53,B
11447,b,101,B
11448,a,62,A
11449,a,182,B
11450,d,83,B
11451,b,102,A
11452,b,180,A
11453,d,25,A
11454,d,132,A
11455,e,149,C
11456,d,79,C
11457,c,131,C
11458,a,78,B
11459,b,191,A
11460,d,35,A
11461,e,110,A
11462,e,87,C
11463,e,120,A
11464,b,139,B
11465,e,167,B
11466,d,92,A
11467,a,78,A
11468,c,163,A
11469,a,105,A
11470,d,30,A
11471,a,66,A
11472,c,163,A
11473,b,117,C
11474,d,74,A
11475,c,113,A
11476,c,181,B
11477,d,180,A
11478,b,96,C
11479,d,63,C
11480,c,163,C
11481,e,33,A
11482,e,1,B
11483,c,66,A
11484,b,45,A
11485,e,177,A
11486,a,47,B
11487,c,146,B
11488,c,40,C
11489,b,184,B
11490,d,165,B
11491,a,97,B
11492,e,83,B
11493,e,110,B
11494,d,132,C
11495,e,102,C
11496,a,106,B
11497,e,116,C
11498,c,133,A
11499,e,68,B
11500,b,103,B
11501,a,157,C
11502,b,121,C
11503,e,104,B
11504,d,36,C
11505,e,99,A
11506,b,52,B
11507,e,99,B
11508,d,104,A
11509,d,176,C
11510,b,56,C
11511,a,82,C
11512,d,146,C
11513,d,34,C
11514,d,126,B
11515,c,17,B
11516,d,107,A
11517,b,33,A
11518,b,73,B
11519,b,36,B
11520,c,121,C
11521,d,106,C
11522,d,26,B
11523,d,174,B
11524,e,145,B
11525,b,200,A
11526,b,154,A
11527,a,58,A
11528,e,144,A
11529,c,1,C
11530,b,192,C
11531,d,158,B
11532,b,155,A
11533,b,72,C
11534,a,110,A
11535,d,148,A
11536,a,141,B
11537,d,7,B
11538,d,74,B
11539,b,188,C
11540,b,194,A
11541,d,95,C
11542,d,100,C
11543,d,75,B
11544,a,142,C
11545,c,97,B
11546,b,86,B
11547,a,22,B
11548,d,147,C
11549,c,157,A
11550,d,12,C
11551,d,104,B
11552,c,110,B
11553,a,121,B
11554,d,144,C
11555,a,134,B
11556,b,71,C
11557,e,122,C
11558,e,135,C
11559,a,6,A
11560,a,153,C
11561,d,150,C
11562,c,144,A
11563,d,126,A
11564,b,62,A
11565,d,128,C
11566,b,195,C
11567,d,138,C
11568,e,168,A
11569,b,25,B
11570,c,160,A
11571,c,2,C
11572,e,8,B
11573,d,139,B
11574,e,140,B
11575,e,175,C
11576,a,153,B
11577,c,124,A
11578,c,8,A
11579,a,168,C
11580,d,70,A
11581,e,187,B
11582,e,101,C
11583,c,150,C
11584,d,39,B
11585,b,53,C
11586,b,70,B
11587,a,44,B
11588,d,189,B
11589,c,182,A
11590,e,6,A
11591,b,195,A
11592,c,32,C
11593,b,101,A
11594,c,49,A
11595,b,123,A
11596,a,129,C
11597,c,198,B
11598,b,153,A
11599,c,6,A
11600,a,50,C
11601,d,40,C
11602,d,192,C
11603,c,61,B
11604,a,71,A
11605,d,164,B
11606,b,19,B
11607,c,161,C
11608,d,190,B
11609,e,183,A
11610,c,171,B
11611,e,28,A
11612,b,30,C
11613,c,157,B
11614,b,127,A
11615,e,61,C
11616,a,165,C
11617,a,22,A
11618,c,60,C
11619,b,76,A
11620,b,119,A
11621,a,35,A
11622,b,9,C
11623,d,33,C
11624,c,51,B
11625,d,63,A
11626,a,149,C
11627,d,162,B
11628,b,109,C
11629,a,86,A
11630,a,30,B
11631,c,69,C
11632,c,189,A
11633,b,77,A
11634,b,167,B
11635,e,187,C
11636,a,155,A
11637,e,77,C
11638,c,158,B
11639,d,21,C
11640,d,159,A
11641,a,106,C
11642,e,55,B
11643,c,161,B
11644,b,180,A
11645,e,18,B
11646,c,28,A
11647,b,137,B
11648,c,93,A
11649,b,72,B
11650,b,58,B
11651,e,191,C
11652,a,168,C
11653,c,71,A
11654,e,185,A
11655,c,146,C
11656,a,88,B
11657,c,142,B
11658,c,192,A
11659,c,167,B
11660,a,126,A
11661,d,171,C
11662,d,33,C
11663,e,3,C
11664,b,2,C
11665,a,183,B
11666,e,86,A
11667,e,6,C
11668,a,189,B
11669,d,115,B
11670,b,178,C
11671,d,11,B
11672,d,39,B
11673,b,34,A
11674,e,87,B
11675,a,29,C
11676,c,197,A
11677,d,191,A
11678,b,107,A
11679,e,191,A
11680,e,7,B
11681,b,122,C
11682,a,71,A
11683,e,136,A
11684,d,134,C
11685,a,36,B
11686,e,7,B
11687,d,16,B
11688,b,172,B
11689,d,132,C
11690,c,15,C
11691,d,183,C
11692,d,118,A
11693,d,158,A
11694,c,65,B
11695,e,94,B
11696,c,106,C
11697,e,100,C
11698,b,108,B
11699,d,99,B
11700,b,33,A
11701,d,162,B
11702,e,131,B
11703,c,4,C
11704,d,66,C
11705,d,115,A
11706,a,102,A
11707,d,14,C
11708,e,187,B
11709,d,56,C
11710,a,25,C
11711,e,111,A
11712,a,132,A
11713,b,117,C
11714,c,171,C
11715,e,140,C
11716,c,99,C
11717,e,108,C
11718,b,113,B
11719,b,185,C
11720,a,189,B
11721,b,124,B
11722,d,152,C
11723,c,62,A
11724,b,158,B
11725,e,31,C
11726,c,84,C
11727,c,119,A
11728,d,168,C
11729,c,83,B
11730,a,29,C
11731,e,77,C
11732,a,194,C
11733,e,18,C
11734,b,172,B
11735,a,129,A
11736,a,71,B
11737,b,137,A
11738,a,53,A
11739,e,8,C
11740,b,2,A
11741,b,73,B
11742,b,104,A
11743,a,47,C
11744,d,24,C
11745,e,40,B
11746,b,80,B
11747,a,39,C
11748,b,63,B
11749,c,25,C
11750,a,109,A
11751,c,163,C
11752,d,182,C
11753,b,48,A
11754,b,190,B
11755,d,102,C
11756,c,174,A
11757,e,85,C
11758,c,94,A
11759,c,167,A
11760,b,154,A
11761,d,170,A
11762,c,31,C
11763,d,161,C
11764,b,45,C
11765,c,138,A
11766,c,136,A
11767,e,81,A
11768,e,5,C
11769,e,59,B
11770,a,135,A
11771,e,162,B
11772,c,118,C
11773,e,191,A
11774,b,112,B
11775,b,15,C
11776,c,54,A
11777,a,132,B
11778,a,183,C
11779,e,52,C
11780,d,23,B
11781,d,18,B
11782,e,32,C
11783,e,155,A
11784,b,18,C
11785,d,102,C
11786,d,50,A
11787,a,165,A
11788,b,93,C
11789,a,32,C
11790,a,181,A
11791,b,9,B
11792,a,117,C
11793,e,79,A
11794,d,97,C
11795,c,85,B
11796,e,105,A
11797,d,37,A
11798,c,49,B
11799,d,125,A
11800,d,35,A
11801,c,136,C
11802,d,21,C
11803,c,20,B
11804,c,20,A
11805,a,183,C
11806,d,165,B
11807,e,16,C
11808,c,62,B
11809,b,53,C
11810,d,117,C
11811,e,45,A
11812,a,62,B
11813,a,18,B
11814,a,53,C
11815,a,4,C
11816,b,200,C
11817,e,118,C
11818,e,42,A
11819,c,198,A
11820,b,172,A
11821,a,30,B
11822,c,88,C
11823,a,179,C
11824,b,83,B
11825,a,132,C
11826,e,197,B
11827,e,5,A
11828,e,69,A
11829,d,77,C
11830,b,42,C
11831,d,142,A
11832,b,27,B
11833,c,156,C
11834,e,28,C
11835,a,74,A
11836,c,115,C
11837,d,98,C
11838,b,91,A
11839,b,68,C
11840,b,56,B
11841,e,49,A
11842,c,6,B
11843,a,186,C
11844,b,69,B
11845,d,95,B
11846,c,180,B
11847,b,26,A
11848,a,56,B
11849,d,62,C
11850,b,151,C
11851,e,69,B
11852,e,127,C
11853,d,40,A
11854,e,198,C
11855,e,182,B
11856,b,155,C
11857,c,190,B
11858,b,29,A
11859,e,140,C
11860,d,94,B
11861,b,193,A
11862,b,71,B
11863,a,131,C
11864,b,102,A
11865,d,43,B
11866,e,190,A
11867,a,38,B
11868,c,163,A
11869,c,75,A
11870,c,93,A
11871,d,98,C
11872,c,52,A
11873,e,131,C
11874,a,123,C
11875,b,175,C
11876,b,77,B
11877,e,41,B
11878,a,1,A
11879,a,114,A
11880,d,186,A
11881,b,143,A
11882,c,83,B
11883,c,94,B
11884,a,62,C
11885,a,67,C
11886,b,103,A
11887,e,160,A
11888,a,104,B
11889,e,80,A
11890,a,188,C
11891,d,148,B
11892,c,87,C
11893,a,164,C
11894,a,144,C
11895,d,184,A
11896,e,119,A
11897,a,114,B
11898,d,76,B
11899,e,65,B
11900,d,181,A
11901,b,151,B
11902,c,42,A
11903,c,88,B
11904,d,133,A
11905,e,184,B
11906,e,113,A
11907,b,169,B
11908,a,44,A
11909,d,149,B
11910,e,174,B
11911,d,98,C
11912,b,54,A
11913,b,25,B
11914,a,79,A
11915,e,60,C
11916,c,24,C
11917,a,34,A
11918,d,68,A
11919,c,120,A
11920,d,78,B
11921,a,53,A
11922,c,135,B
11923,b,45,C
11924,a,61,C
11925,c,187,A
11926,a,16,C
11927,d,13,C
11928,c,157,A
11929,e,139,A
11930,c,76,C
11931,e,42,C
11932,e,106,A
11933,c,1,A
11934,c,113,A
11935,d,57,C
11936,d,90,C
11937,c,164,C
11938,b,83,A
11939,c,90,C
11940,c,37,C
11941,d,75,A
11942,d,129,B
11943,a,127,A
11944,b,175,A
11945,b,173,C
11946,a,174,A
11947,b,63,B
11948,c,22,C
11949,d,74,C
11950,a,79,B
11951,e,129,C
11952,b,171,B
11953,c,30,A
11954,e,123,B
11955,e,8,B
11956,c,165,B
11957,b,35,C
11958,c,142,C
11959,c,160,C
11960,e,146,A
11961,d,161,B
11962,c,147,B
11963,d,43,A
11964,a,175,A
11965,d,186,B
11966,d,129,C
11967,e,75,B
11968,d,189,C
11969,c,83,B
11970,b,56,B
11971,a,18,B
11972,d,118,A
11973,b,48,C
11974,b,87,A
11975,b,108,A
11976,b,5,B
11977,d,67,C
11978,b,71,C
11979,c,87,A
11980,b,48,B
11981,c,111,C
11982,b,87,C
11983,d,144,B
11984,e,92,C
11985,d,104,B
11986,a,43,C
11987,e,25,C
11988,e,107,B
11989,d,47,B
11990,c,138,B
11991,d,146,A
11992,b,19,C
11993,c,166,B
11994,e,77,C
11995,b,119,B
11996,e,167,A
11997,d,117,A
11998,a,155,B
11999,b,128,A
12000,e,177,C
12001,c,149,B
12002,c,47,C
12003,e,181,A
12004,b,166,B
12005,a,86,B
12006,a,61,B
12007,b,13,B
12008,b,174,C
12009,e,45,B
12010,c,51,B
12011,e,91,B
12012,e,199,B
12013,d,107,C
12014,a,191,C
12015,c,158,C
12016,a,167,B
12017,b,163,C
12018,e,180,B
12019,a,78,C
12020,b,21,C
12021,d,165,A
12022,b,138,C
12023,b,40,A
12024,e,200,B
12025,b,78,C
12026,c,195,C
12027,e,143,A
12028,e,150,C
12029,a,175,C
12030,c,143,C
12031,e,126,B
12032,b,3,C
12033,d,170,A
12034,b,46,A
12035,a,78,A
12036,e,62,B
12037,d,198,C
12038,b,189,C
12039,c,180,B
12040,e,86,C
12041,b,172,C
12042,c,171,C
12043,b,44,A
12044,e,58,C
12045,c,143,A
12046,b,71,C
12047,b,83,B
12048,c,164,C
12049,a,43,A
12050,e,114,B
12051,b,51,B
12052,c,157,B
12053,b,57,B
12054,a,68,B
12055,a,100,C
12056,c,87,C
12057,e,150,B
12058,d,110,A
12059,c,142,B
12060,c,55,A
12061,d,75,C
12062,e,138,B
12063,a,128,C
12064,b,13,C
12065,b,88,A
12066,a,151,C
12067,c,195,B
12068,c,90,B
12069,e,115,C
12070,e,59,A
12071,b,134,A
12072,b,77,C
12073,b,158,A
12074,e,25,A
12075,d,172,C
12076,a,187,A
12077,c,48,B
12078,a,4,B
12079,e,19,C
12080,d,163,B
12081,b,128,C
12082,a,64,C
12083,a,13,A
12084,b,75,B
12085,c,13,B
12086,a,59,C
12087,b,12,C
12088,b,170,B
12089,b,137,A
12090,b,163,A
12091,c,157,A
12092,d,21,C
12093,b,132,A
12094,a,7,B
12095,e,84,A
12096,e,157,A
12097,d,17,C
12098,d,47,B
12099,e,186,A
12100,d,41,B
12101,d,75,A
12102,e,55,B
12103,e,94,C
12104,e,65,C
12105,c,53,A
12106,a,67,A
12107,c,115,C
12108,d,55,B
12109,e,148,A
12110,d,61,B
12111,c,93,A
12112,e,125,B
12113,e,181,C
12114,b,142,B
12115,c,81,A
12116,b,60,C
12117,b,104,A
12118,c,189,A
12119,e,130,B
12120,a,93,B
12121,e,74,B
12122,c,45,B
12123,b,27,C
12124,b,40,A
12125,c,61,B
12126,d,15,C
12127,a,156,C
12128,c,18,C
12129,a,93,A
12130,b,36,A
12131,a,126,A
12132,d,14,C
12133,e,159,B
12134,c,143,C
12135,d,143,C
12136,d,120,A
12137,b,76,C
12138,c,140,C
12139,b,147,C
12140,c,186,B
12141,a,182,B
12142,e,107,B
12143,d,47,C
12144,d,53,A
12145,a,51,C
12146,a,159,B
12147,c,180,C
12148,d,84,B
12149,b,109,B
12150,d,172,A
12151,d,188,C
12152,b,151,C
12153,a,179,B
12154,d,22,B
12155,a,39,C
12156,a,149,A
12157,e,104,C
12158,d,123,C
12159,e,162,C
12160,d,200,A
12161,c,102,B
12162,c,54,B
12163,d,23,C
12164,c,50,A
12165,b,128,C
12166,e,44,A
12167,c,16,B
12168,b,121,B
12169,e,44,B
