mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
13,8,400,170,4746,12,71,"""C1""","""ford country squire (sw)"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
32.3,4,97,67,2065,17.8,81,"""C3""","""subaru"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
16.9,8,350,155,4360,14.9,79,"""C1""","""buick estate wagon (sw)"""
16,8,318,150,4190,13,76,"""C1""","""dodge coronet brougham"""
33,4,91,53,1795,17.4,76,"""C3""","""honda civic"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
15.5,8,304,120,3962,13.9,76,"""C1""","""amc matador"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
23.9,8,260,90,3420,22.2,79,"""C1""","""oldsmobile cutlass salon brougham"""
27,4,151,90,2735,18,82,"""C1""","""pontiac phoenix"""
37.2,4,86,65,2019,16.4,80,"""C3""","""datsun 310"""
27,4,140,86,2790,15.6,82,"""C1""","""ford mustang gl"""
33,4,91,53,1795,17.5,75,"""C3""","""honda civic cvcc"""
29,4,68,49,1867,19.5,73,"""C2""","""fiat 128"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
20.2,6,232,90,3265,18.2,79,"""C1""","""amc concord dl 6"""
31.6,4,120,74,2635,18.3,81,"""C3""","""mazda 626"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
12,8,350,160,4456,13.5,72,"""C1""","""oldsmobile delta 88 royale"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
33,4,91,53,1795,17.5,75,"""C3""","""honda civic cvcc"""
14,8,351,153,4154,13.5,71,"""C1""","""ford galaxie 500"""
23,4,97,54,2254,23.5,72,"""C2""","""volkswagen type 3"""
26,4,97,78,2300,14.5,74,"""C2""","""opel manta"""
15.5,8,351,142,4054,14.3,79,"""C1""","""ford country squire (sw)"""
28.1,4,141,80,3230,20.4,81,"""C2""","""peugeot 505s turbo diesel"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
22,6,198,95,2833,15.5,70,"""C1""","""plymouth duster"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
30.7,6,145,76,3160,19.6,81,"""C2""","""volvo diesel"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
30.7,6,145,76,3160,19.6,81,"""C2""","""volvo diesel"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
26,4,122,80,2451,16.5,74,"""C1""","""ford pinto"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
18,4,121,112,2933,14.5,72,"""C2""","""volvo 145e (sw)"""
36.1,4,91,60,1800,16.4,78,"""C3""","""honda civic cvcc"""
23,4,97,54,2254,23.5,72,"""C2""","""volkswagen type 3"""
13,8,302,129,3169,12,75,"""C1""","""ford mustang ii"""
19.4,8,318,140,3735,13.2,78,"""C1""","""dodge diplomat"""
38.1,4,89,60,1968,18.8,80,"""C3""","""toyota corolla tercel"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
31,4,76,52,1649,16.5,74,"""C3""","""toyota corona"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
11,8,429,208,4633,11,72,"""C1""","""mercury marquis"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
22,6,198,95,2833,15.5,70,"""C1""","""plymouth duster"""
31.9,4,89,71,1925,14,79,"""C2""","""vw rabbit custom"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
19,4,122,85,2310,18.5,73,"""C1""","""ford pinto"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
36,4,105,74,1980,15.3,82,"""C2""","""volkswagen rabbit l"""
28,4,98,80,2164,15,72,"""C1""","""dodge colt (sw)"""
25.5,4,122,96,2300,15.5,77,"""C1""","""plymouth arrow gs"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
22,6,250,105,3353,14.5,76,"""C1""","""chevrolet nova"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
20,8,262,110,3221,13.5,75,"""C1""","""chevrolet monza 2+2"""
35.7,4,98,80,1915,14.4,79,"""C1""","""dodge colt hatchback custom"""
24,4,116,75,2158,15.5,73,"""C2""","""opel manta"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
10,8,360,215,4615,14,70,"""C1""","""ford f250"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
32.7,6,168,132,2910,11.4,80,"""C3""","""datsun 280-zx"""
28,4,97,92,2288,17,72,"""C3""","""datsun 510 (sw)"""
13,8,302,129,3169,12,75,"""C1""","""ford mustang ii"""
31,4,91,68,1970,17.6,82,"""C3""","""mazda glc custom"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
29,4,90,70,1937,14,75,"""C2""","""volkswagen rabbit"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
28,4,98,80,2164,15,72,"""C1""","""dodge colt (sw)"""
16,6,250,100,3278,18,73,"""C1""","""chevrolet nova custom"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
34.4,4,98,65,2045,16.2,81,"""C1""","""ford escort 4w"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
19.8,6,200,85,2990,18.2,79,"""C1""","""mercury zephyr 6"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
28.1,4,141,80,3230,20.4,81,"""C2""","""peugeot 505s turbo diesel"""
27,4,101,83,2202,15.3,76,"""C2""","""renault 12tl"""
23,4,97,54,2254,23.5,72,"""C2""","""volkswagen type 3"""
32,4,91,67,1965,15.7,82,"""C3""","""honda civic (auto)"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
23.8,4,151,85,2855,17.6,78,"""C1""","""oldsmobile starfire sx"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
31,4,112,85,2575,16.2,82,"""C1""","""pontiac j2000 se hatchback"""
23,4,120,97,2506,14.5,72,"""C3""","""toyouta corona mark ii (sw)"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
21.5,6,231,115,3245,15.4,79,"""C1""","""pontiac lemans v6"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
16,8,400,230,4278,9.5,73,"""C1""","""pontiac grand prix"""
27,4,151,90,2735,18,82,"""C1""","""pontiac phoenix"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
29.8,4,89,62,1845,15.3,80,"""C2""","""vokswagen rabbit"""
38.1,4,89,60,1968,18.8,80,"""C3""","""toyota corolla tercel"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
16,6,225,105,3439,15.5,71,"""C1""","""plymouth satellite custom"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
15.5,8,304,120,3962,13.9,76,"""C1""","""amc matador"""
14,8,340,160,3609,8,70,"""C1""","""plymouth 'cuda 340"""
32.1,4,98,70,2120,15.5,80,"""C1""","""chevrolet chevette"""
18,6,232,100,2945,16,73,"""C1""","""amc hornet"""
31,4,79,67,2000,16,74,"""C2""","""fiat x1.9"""
26,4,156,92,2585,14.5,82,"""C1""","""chrysler lebaron medallion"""
14,8,318,150,4096,13,71,"""C1""","""plymouth fury iii"""
29,4,98,83,2219,16.5,74,"""C2""","""audi fox"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
28,4,140,90,2264,15.5,71,"""C1""","""chevrolet vega 2300"""
31.9,4,89,71,1925,14,79,"""C2""","""vw rabbit custom"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
30,4,88,76,2065,14.5,71,"""C2""","""fiat 124b"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
13,8,350,150,4699,14.5,74,"""C1""","""buick century luxus (sw)"""
28,4,90,75,2125,14.5,74,"""C1""","""dodge colt"""
32.3,4,97,67,2065,17.8,81,"""C3""","""subaru"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
24,4,90,75,2108,15.5,74,"""C2""","""fiat 128"""
22,6,225,100,3233,15.4,76,"""C1""","""plymouth valiant"""
21.1,4,134,95,2515,14.8,78,"""C3""","""toyota celica gt liftback"""
26,4,98,79,2255,17.7,76,"""C1""","""dodge colt"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
17.6,8,302,129,3725,13.4,79,"""C1""","""ford ltd landau"""
28,4,112,88,2605,19.6,82,"""C1""","""chevrolet cavalier"""
26,4,121,113,2234,12.5,70,"""C2""","""bmw 2002"""
15.5,8,400,190,4325,12.2,77,"""C1""","""chrysler cordoba"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
36.1,4,91,60,1800,16.4,78,"""C3""","""honda civic cvcc"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
22.3,4,140,88,2890,17.3,79,"""C1""","""ford fairmont 4"""
26.5,4,140,72,2565,13.6,76,"""C1""","""ford pinto"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
17.5,8,305,145,3880,12.5,77,"""C1""","""chevrolet caprice classic"""
27,4,97,60,1834,19,71,"""C2""","""volkswagen model 111"""
26.4,4,140,88,2870,18.1,80,"""C1""","""ford fairmont"""
28,4,120,79,2625,18.6,82,"""C1""","""ford ranger"""
25.5,4,122,96,2300,15.5,77,"""C1""","""plymouth arrow gs"""
28,4,151,90,2678,16.5,80,"""C1""","""chevrolet citation"""
17,6,163,125,3140,13.6,78,"""C2""","""volvo 264gl"""
18.1,6,258,120,3410,15.1,78,"""C1""","""amc concord d/l"""
13,8,318,150,3940,13.2,76,"""C1""","""plymouth volare premier v8"""
37.7,4,89,62,2050,17.3,81,"""C3""","""toyota tercel"""
32.9,4,119,100,2615,14.8,81,"""C3""","""datsun 200sx"""
27,4,151,90,2735,18,82,"""C1""","""pontiac phoenix"""
20,4,114,91,2582,14,73,"""C2""","""audi 100ls"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
20,4,97,88,2279,19,73,"""C3""","""toyota carina"""
37,4,91,68,2025,18.2,82,"""C3""","""mazda glc custom l"""
23.9,8,260,90,3420,22.2,79,"""C1""","""oldsmobile cutlass salon brougham"""
39.4,4,85,70,2070,18.6,78,"""C3""","""datsun b210 gx"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
15.5,8,350,170,4165,11.4,77,"""C1""","""chevrolet monte carlo landau"""
28,4,112,88,2605,19.6,82,"""C1""","""chevrolet cavalier"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
17.5,8,305,145,3880,12.5,77,"""C1""","""chevrolet caprice classic"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
24,4,119,97,2545,17,75,"""C3""","""datsun 710"""
26.6,4,151,84,2635,16.4,81,"""C1""","""buick skylark"""
23,4,122,86,2220,14,71,"""C1""","""mercury capri 2000"""
19.8,6,200,85,2990,18.2,79,"""C1""","""mercury zephyr 6"""
24.2,6,146,120,2930,13.8,81,"""C3""","""datsun 810 maxima"""
26,4,97,75,2265,18.2,77,"""C3""","""toyota corolla liftback"""
32.9,4,119,100,2615,14.8,81,"""C3""","""datsun 200sx"""
14,8,351,148,4657,13.5,75,"""C1""","""ford ltd"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
12,8,350,180,4499,12.5,73,"""C1""","""oldsmobile vista cruiser"""
23.2,4,156,105,2745,16.7,78,"""C1""","""plymouth sapporo"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
13,8,302,129,3169,12,75,"""C1""","""ford mustang ii"""
15,6,250,72,3432,21,75,"""C1""","""mercury monarch"""
36,4,120,88,2160,14.5,82,"""C3""","""nissan stanza xe"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
17.5,8,305,145,3880,12.5,77,"""C1""","""chevrolet caprice classic"""
32.3,4,97,67,2065,17.8,81,"""C3""","""subaru"""
15.5,8,400,190,4325,12.2,77,"""C1""","""chrysler cordoba"""
23.9,4,119,97,2405,14.9,78,"""C3""","""datsun 200-sx"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
30,4,135,84,2385,12.9,81,"""C1""","""plymouth reliant"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
24,4,119,97,2545,17,75,"""C3""","""datsun 710"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
28,4,90,75,2125,14.5,74,"""C1""","""dodge colt"""
23,4,122,86,2220,14,71,"""C1""","""mercury capri 2000"""
35.7,4,98,80,1915,14.4,79,"""C1""","""dodge colt hatchback custom"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
18,6,225,105,3613,16.5,74,"""C1""","""plymouth satellite sebring"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
21.5,3,80,110,2720,13.5,77,"""C3""","""mazda rx-4"""
16.9,8,350,155,4360,14.9,79,"""C1""","""buick estate wagon (sw)"""
21,6,199,90,2648,15,70,"""C1""","""amc gremlin"""
26,4,96,69,2189,18,72,"""C2""","""renault 12 (sw)"""
15.5,8,304,120,3962,13.9,76,"""C1""","""amc matador"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
14,8,340,160,3609,8,70,"""C1""","""plymouth 'cuda 340"""
30,4,98,68,2155,16.5,78,"""C1""","""chevrolet chevette"""
36,4,135,84,2370,13,82,"""C1""","""dodge charger 2.2"""
27.2,4,119,97,2300,14.7,78,"""C3""","""datsun 510"""
41.5,4,98,76,2144,14.7,80,"""C2""","""vw rabbit"""
14,8,455,225,3086,10,70,"""C1""","""buick estate wagon (sw)"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
23,4,120,88,2957,17,75,"""C2""","""peugeot 504"""
14,8,318,150,4077,14,72,"""C1""","""plymouth satellite custom (sw)"""
29,4,135,84,2525,16,82,"""C1""","""dodge aries se"""
27,4,140,86,2790,15.6,82,"""C1""","""ford mustang gl"""
29.8,4,89,62,1845,15.3,80,"""C2""","""vokswagen rabbit"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
27.5,4,134,95,2560,14.2,78,"""C3""","""toyota corona"""
18,6,225,105,3613,16.5,74,"""C1""","""plymouth satellite sebring"""
16,6,258,110,3632,18,74,"""C1""","""amc matador"""
20.5,6,231,105,3425,16.9,77,"""C1""","""buick skylark"""
36.4,5,121,67,2950,19.9,80,"""C2""","""audi 5000s (diesel)"""
28,4,112,88,2605,19.6,82,"""C1""","""chevrolet cavalier"""
29,4,135,84,2525,16,82,"""C1""","""dodge aries se"""
21.5,4,121,110,2600,12.8,77,"""C2""","""bmw 320i"""
32.4,4,108,75,2350,16.8,81,"""C3""","""toyota corolla"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
18.5,8,360,150,3940,13,79,"""C1""","""chrysler lebaron town @ country (sw)"""
15.5,8,400,190,4325,12.2,77,"""C1""","""chrysler cordoba"""
18.6,6,225,110,3620,18.7,78,"""C1""","""dodge aspen"""
29,4,90,70,1937,14.2,76,"""C2""","""vw rabbit"""
33.5,4,85,70,1945,16.8,77,"""C3""","""datsun f-10 hatchback"""
28,4,120,79,2625,18.6,82,"""C1""","""ford ranger"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
37.2,4,86,65,2019,16.4,80,"""C3""","""datsun 310"""
34.4,4,98,65,2045,16.2,81,"""C1""","""ford escort 4w"""
19.2,6,231,105,3535,19.2,78,"""C1""","""pontiac phoenix lj"""
27,4,112,88,2640,18.6,82,"""C1""","""chevrolet cavalier wagon"""
32.2,4,108,75,2265,15.2,80,"""C3""","""toyota corolla"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
19,4,121,112,2868,15.5,73,"""C2""","""volvo 144ea"""
23,4,140,83,2639,17,75,"""C1""","""ford pinto"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
25,4,90,71,2223,16.5,75,"""C2""","""volkswagen dasher"""
14,8,302,137,4042,14.5,73,"""C1""","""ford gran torino"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
26,4,97,46,1950,21,73,"""C2""","""volkswagen super beetle"""
41.5,4,98,76,2144,14.7,80,"""C2""","""vw rabbit"""
15,8,429,198,4341,10,70,"""C1""","""ford galaxie 500"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
17,6,231,110,3907,21,75,"""C1""","""buick century"""
16.5,8,351,138,3955,13.2,79,"""C1""","""mercury grand marquis"""
18,6,225,105,3613,16.5,74,"""C1""","""plymouth satellite sebring"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
12,8,350,160,4456,13.5,72,"""C1""","""oldsmobile delta 88 royale"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
15,8,318,150,3777,12.5,73,"""C1""","""dodge coronet custom"""
34.7,4,105,63,2215,14.9,81,"""C1""","""plymouth horizon 4"""
23,6,198,95,2904,16,73,"""C1""","""plymouth duster"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
27.2,4,141,71,3190,24.8,79,"""C2""","""peugeot 504"""
27,4,151,90,2950,17.3,82,"""C1""","""chevrolet camaro"""
32.9,4,119,100,2615,14.8,81,"""C3""","""datsun 200sx"""
20.2,6,200,88,3060,17.1,81,"""C1""","""ford granada gl"""
31,4,119,82,2720,19.4,82,"""C1""","""chevy s-10"""
31,4,91,68,1970,17.6,82,"""C3""","""mazda glc custom"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
24,4,113,95,2372,15,70,"""C3""","""toyota corona mark ii"""
28.4,4,151,90,2670,16,79,"""C1""","""buick skylark limited"""
23.9,8,260,90,3420,22.2,79,"""C1""","""oldsmobile cutlass salon brougham"""
20.3,5,131,103,2830,15.9,78,"""C2""","""audi 5000"""
18,4,121,112,2933,14.5,72,"""C2""","""volvo 145e (sw)"""
14,8,340,160,3609,8,70,"""C1""","""plymouth 'cuda 340"""
15,8,318,150,3399,11,73,"""C1""","""dodge dart custom"""
36,4,135,84,2370,13,82,"""C1""","""dodge charger 2.2"""
18,6,225,105,3613,16.5,74,"""C1""","""plymouth satellite sebring"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
26.8,6,173,115,2700,12.9,79,"""C1""","""oldsmobile omega brougham"""
21,4,120,87,2979,19.5,72,"""C2""","""peugeot 504 (sw)"""
27,4,101,83,2202,15.3,76,"""C2""","""renault 12tl"""
19,6,225,95,3264,16,75,"""C1""","""plymouth valiant custom"""
29.8,4,89,62,1845,15.3,80,"""C2""","""vokswagen rabbit"""
34.4,4,98,65,2045,16.2,81,"""C1""","""ford escort 4w"""
29.8,4,89,62,1845,15.3,80,"""C2""","""vokswagen rabbit"""
22,4,121,98,2945,14.5,75,"""C2""","""volvo 244dl"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
23,4,140,78,2592,18.5,75,"""C1""","""pontiac astro"""
14,8,351,153,4129,13,72,"""C1""","""ford galaxie 500"""
25,4,121,115,2671,13.5,75,"""C2""","""saab 99le"""
21,4,122,86,2226,16.5,72,"""C1""","""ford pinto runabout"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
16,6,250,105,3897,18.5,75,"""C1""","""chevroelt chevelle malibu"""
19,6,232,100,2901,16,74,"""C1""","""amc hornet"""
15,8,350,145,4440,14,75,"""C1""","""chevrolet bel air"""
29,4,98,83,2219,16.5,74,"""C2""","""audi fox"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
25.5,4,122,96,2300,15.5,77,"""C1""","""plymouth arrow gs"""
14,8,304,150,4257,15.5,74,"""C1""","""amc matador (sw)"""
30.9,4,105,75,2230,14.5,78,"""C1""","""dodge omni"""
15,8,318,150,4135,13.5,72,"""C1""","""plymouth fury iii"""
33,4,105,74,2190,14.2,81,"""C2""","""volkswagen jetta"""
18.1,8,302,139,3205,11.2,78,"""C1""","""ford futura"""
31,4,71,65,1773,19,71,"""C3""","""toyota corolla 1200"""
23.7,3,70,100,2420,12.5,80,"""C3""","""mazda rx-7 gs"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
44.3,4,90,48,2085,21.7,80,"""C2""","""vw rabbit c (diesel)"""
24,4,107,90,2430,14.5,70,"""C2""","""audi 100 ls"""
25.1,4,140,88,2720,15.4,78,"""C1""","""ford fairmont (man)"""
11,8,429,208,4633,11,72,"""C1""","""mercury marquis"""
13,8,307,130,4098,14,72,"""C1""","""chevrolet chevelle concours (sw)"""
20,4,140,90,2408,19.5,72,"""C1""","""chevrolet vega"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
13,8,350,175,4100,13,73,"""C1""","""buick century 350"""
20.6,6,225,110,3360,16.6,79,"""C1""","""dodge aspen 6"""
14,8,318,150,4096,13,71,"""C1""","""plymouth fury iii"""
29,4,98,83,2219,16.5,74,"""C2""","""audi fox"""
19,6,250,88,3302,15.5,71,"""C1""","""ford torino 500"""
33.5,4,98,83,2075,15.9,77,"""C1""","""dodge colt m/m"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
13,8,318,150,3940,13.2,76,"""C1""","""plymouth volare premier v8"""
17.5,8,305,140,4215,13,76,"""C1""","""chevrolet chevelle malibu classic"""
14,8,351,148,4657,13.5,75,"""C1""","""ford ltd"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
11,8,429,208,4633,11,72,"""C1""","""mercury marquis"""
28,4,97,92,2288,17,72,"""C3""","""datsun 510 (sw)"""
27.2,4,119,97,2300,14.7,78,"""C3""","""datsun 510"""
16,6,250,100,3781,17,74,"""C1""","""chevrolet chevelle malibu classic"""
24,4,119,97,2545,17,75,"""C3""","""datsun 710"""
17.5,8,318,140,4080,13.7,78,"""C1""","""dodge magnum xe"""
16,8,318,150,4190,13,76,"""C1""","""dodge coronet brougham"""
31.9,4,89,71,1925,14,79,"""C2""","""vw rabbit custom"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
22.3,4,140,88,2890,17.3,79,"""C1""","""ford fairmont 4"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
25,4,140,75,2542,17,74,"""C1""","""chevrolet vega"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
14,8,455,225,4425,10,70,"""C1""","""pontiac catalina"""
31.5,4,89,71,1990,14.9,78,"""C2""","""volkswagen scirocco"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
36.1,4,91,60,1800,16.4,78,"""C3""","""honda civic cvcc"""
18,6,250,78,3574,21,76,"""C1""","""ford granada ghia"""
22,6,250,105,3353,14.5,76,"""C1""","""chevrolet nova"""
37.2,4,86,65,2019,16.4,80,"""C3""","""datsun 310"""
11,8,400,150,4997,14,73,"""C1""","""chevrolet impala"""
15,6,258,110,3730,19,75,"""C1""","""amc matador"""
29.8,4,89,62,1845,15.3,80,"""C2""","""vokswagen rabbit"""
27.4,4,121,80,2670,15,79,"""C1""","""amc spirit dl"""
35.1,4,81,60,1760,16.1,81,"""C3""","""honda civic 1300"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
13,8,350,165,4274,12,72,"""C1""","""chevrolet impala"""
15,8,350,145,4082,13,73,"""C1""","""chevrolet monte carlo s"""
30,4,146,67,3250,21.8,80,"""C2""","""mercedes-benz 240d"""
31,4,91,68,1970,17.6,82,"""C3""","""mazda glc custom"""
24,4,121,110,2660,14,73,"""C2""","""saab 99le"""
26,4,116,75,2246,14,74,"""C2""","""fiat 124 tc"""
34.1,4,91,68,1985,16,81,"""C3""","""mazda glc 4"""
37,4,85,65,1975,19.4,81,"""C3""","""datsun 210 mpg"""
15,8,318,150,4135,13.5,72,"""C1""","""plymouth fury iii"""
29.5,4,97,71,1825,12.2,76,"""C2""","""volkswagen rabbit"""
24.5,4,151,88,2740,16,77,"""C1""","""pontiac sunbird coupe"""
20.5,6,225,100,3430,17.2,78,"""C1""","""plymouth volare"""
18,4,121,112,2933,14.5,72,"""C2""","""volvo 145e (sw)"""
28.8,6,173,115,2595,11.3,79,"""C1""","""chevrolet citation"""
29.9,4,98,65,2380,20.7,81,"""C1""","""ford escort 2h"""
20.8,6,200,85,3070,16.7,78,"""C1""","""mercury zephyr"""
27,4,151,90,2735,18,82,"""C1""","""pontiac phoenix"""
21.6,4,121,115,2795,15.7,78,"""C2""","""saab 99gle"""
15,6,250,72,3432,21,75,"""C1""","""mercury monarch"""
14,8,340,160,3609,8,70,"""C1""","""plymouth 'cuda 340"""
26.6,4,151,84,2635,16.4,81,"""C1""","""buick skylark"""
22,6,198,95,2833,15.5,70,"""C1""","""plymouth duster"""
